source_account,case_id,content_type,character_or_subject,theme,scene,pose_motion,outfit,lighting_camera,negative_constraints,paraphrased_prompt_case,source_url,notes
AFantagirl85190,AFG-001,image,generic female subject,luxury nightlife,backseat of a luxury car at night,reclining naturally across a black leather seat and holding a phone,black lace-trim camisole with dark shorts and layered gold jewelry,direct on-camera flash with sharp highlights and shallow depth of field,"preserve body proportions; avoid reshaping, face changes, plastic skin, blur, bad anatomy, oversaturation, watermark, text",Photoreal editorial portrait in a luxury car at night with dark leather interior and city reflections using harsh flash and realistic skin texture.,https://mobile.twstalker.com/AFantagirl85190,Paraphrased from public cached snippet.
AFantagirl85190,AFG-002,image,Sydney Sweeney inspired,fashion studio portrait,deep red textured studio backdrop,subtle hip shift with relaxed shoulders and chin slightly lowered,bright pink sleeveless bodycon mini dress,soft key light from front-left with strong contrast and 85mm editorial look,,High-fashion portrait against a rich red backdrop with warm glowing skin and cinematic shallow depth of field.,https://mobile.twstalker.com/AFantagirl85190,Paraphrased from public cached snippet.
AFantagirl85190,AFG-003,video,Sydney Sweeney inspired,viral short dance,red studio background,small shoulder pops body roll step forward profile turn and hair flip,tight pink mini dress,handheld rhythmic cinematography with realistic fabric physics,,Ten-second vertical dance clip built from a sequence of contained viral-style movements ending in a confident center pose.,https://mobile.twstalker.com/AFantagirl85190,Paraphrased from public cached snippet.
AFantagirl85190,AFG-004,image,Natalia Dyer inspired,fashion studio portrait,deep red textured studio backdrop,subtle hip-shift pose with direct eye contact,bright yellow sleeveless bodycon mini dress,dramatic contrast with soft key from front-left,,Same portrait recipe as the pink-dress studio setup but switched to a bright yellow dress for a sharper color pop.,https://mobile.twstalker.com/AFantagirl85190,Paraphrased from public cached snippet.
AFantagirl85190,AFG-005,image,reference-based subject,modern qipao editorial,studio seat setup,sitting sideways on a wooden cube with one leg lifted onto the seat,black and gold embroidered qipao mini dress with clear heels,clean portrait styling,,Reference-face portrait using an elegant asymmetrical seated pose and a black-gold modern qipao look.,https://mobile.twstalker.com/AFantagirl85190,Paraphrased from public cached snippet.
AFantagirl85190,AFG-006,image,Natalia Dyer inspired,glossy bodysuit editorial,minimal gray studio background,kneeling with knees together and hands on the floor,light pink glossy long-sleeve bodysuit with sneakers,bright clean studio lighting and medium-format editorial feel,,Magazine-cover style kneeling portrait with glossy pink bodysuit and minimalist gray set.,https://mobile.twstalker.com/AFantagirl85190,Paraphrased from public cached snippet.
AFantagirl85190,AFG-007,image,reference-based subject,dominant editorial pose,studio with director chair,seated with legs dramatically crossed and one boot raised high,rust-red knit top with standout patent leather knee-high boots,softbox style studio light emphasizing specular boot highlights,,Centered composition built around a raised glossy boot as the key visual anchor and a cool dominant expression.,https://mobile.twstalker.com/AFantagirl85190,Paraphrased from public cached snippet.
AFantagirl85190,AFG-008,image,reference-based subject,decadent staircase fashion,European historic staircase,reclining diagonally across marble stairs in an S-curve,yellow sequin mini dress with lemon yellow heels,strong side light with chiaroscuro and 35mm cinematic framing,"avoid flat lighting, smiling, washed-out colors, blur, fake textures",High-drama staircase editorial using marble textures, red carpet remnants, and sequin reflections for a cold aristocratic mood.,https://mobile.twstalker.com/AFantagirl85190,Paraphrased from public cached snippet.
AFantagirl85190,AFG-009,image,Sadie Sink inspired,Y2K candid snapshot,brushed steel wall and plain light wall,leaning back with chin lifted,white cropped ringer tee with mustard trim and faded mustard bottoms,harsh direct flash with dark drop shadow and 35mm grain,,Raw Y2K flash snapshot look with maximum skin detail and simple wall geometry.,https://mobile.twstalker.com/AFantagirl85190,Paraphrased from public cached snippet.
AFantagirl85190,AFG-010,video,unknown female subject,slow fashion clip,marble staircase,sitting and slightly tilting the head while camera slowly zooms,yellow sequined dress,high-angle slow zoom with shimmering sequins under shifting light,,Short cinematic clip focused on shimmer and subtle head movement rather than big choreography.,https://mobile.twstalker.com/AFantagirl85190,Paraphrased from public cached snippet.
AFantagirl85190,AFG-011,image,Natalia Dyer or Elle Fanning inspired,black-and-white minimal fashion,pure white seamless background,back to camera with one knee crossed in front and head turned back,black long-sleeve bodysuit with polka-dot sheer stockings and stilettos,"minimalist full-body setup in black and white","avoid color, wide legs, clutter, bad proportions, blur",Minimal monochrome full-body fashion study built around crossed-leg geometry and rear-facing pose.,https://mobile.twstalker.com/AFantagirl85190,Paraphrased from public cached snippet.
StudioAnki,SA-001,brand_profile,AI-generated girl persona,daily AI dance videos,short-form social posting,repeatable dance-centric character content,not enough public detail yet,not enough public detail yet,,Account positioning suggests a repeatable workflow centered on AI girl characters and daily dance-style short videos rather than single still portraits.,https://www.twstalker.com/etoNdesreveR,Derived from public profile mention only.
